,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
801,802,ResMed,3196.8,8.1,474.5,-23.7,4728.1,35463.3,-51,7970,1,1
803,804,Graham Holdings,3186.0,10.3,352.1,17.2,7425.5,3000.6,-36,15048,1,1
805,806,Worthington Industries,3171.4,3.7,723.8,818.6,3373.2,2537.8,-68,9000,1,1
808,809,TransUnion,3145.0,15.8,1387.1,304.2,12635.0,19882.6,-13,10200,1,1
811,812,Dycom Industries,3130.5,-2.1,48.6,41.5,2118.2,2821.0,-102,15024,1,1
812,813,Columbia Sportswear,3126.4,25.0,354.1,227.8,3067.1,5840.4,28,8325,1,0
815,816,Grocery Outlet Holding,3079.6,-1.8,62.3,-41.6,2669.8,3148.0,-94,875,1,1
816,817,AMC Networks,3077.6,9.3,250.6,4.4,5748.9,1721.7,-38,1883,1,1
817,818,Hyster-Yale Materials Handling,3075.7,9.4,-173.0,-566.3,1970.1,561.2,-36,8100,0,1
819,820,Comfort Systems USA,3073.6,7.6,143.3,-4.5,2209.1,3200.5,-44,13200,1,1
821,822,Brown & Brown,3051.4,16.8,587.1,22.2,9795.4,20395.7,-8,12023,1,1
822,823,LGI Homes,3050.1,28.8,429.6,32.6,2351.9,2322.4,50,952,1,0
824,825,Comerica,3024.0,-2.3,1168.0,146.4,94616.0,11854.4,-96,7442,1,1
828,829,Verisk Analytics,2998.6,7.7,666.2,-6.5,7808.1,34616.2,-41,9367,1,1
829,830,Spectrum Brands Holdings,2998.1,-24.4,189.6,93.9,5340.4,3617.6,-209,12100,1,1
831,832,TEGNA,2991.1,1.8,477.0,-1.2,6917.6,4962.6,-76,6200,1,1
832,833,Vontier,2990.7,10.6,413.0,20.8,4349.8,4087.8,-32,8500,1,1
833,834,Cadence Design Systems,2988.2,11.4,696.0,17.8,4386.3,45781.7,-29,9298,1,1
835,836,Match Group,2983.3,24.8,277.7,116.0,5063.3,31007.0,28,2520,1,0
836,837,Valvoline,2981.0,26.7,420.0,32.5,3191.0,5660.5,43,9800,1,0
837,838,EnerSys,2977.9,-3.6,143.4,4.6,3462.8,3076.0,-107,11400,1,1
839,840,UWM Holdings,2970.3,-39.9,98.4,-97.1,22528.4,7223.5,-311,8000,1,1
840,841,Zions Bancorp.,2970.0,1.0,1129.0,109.5,93200.0,9958.2,-87,9685,1,1
842,843,MKS Instruments,2949.6,26.6,551.4,57.5,4540.3,8327.6,45,6200,1,0
843,844,Arista Networks,2948.0,27.2,840.9,32.5,5734.4,42773.4,45,2993,1,0
844,845,Interactive Brokers Group,2938.0,18.5,308.0,57.9,109113.0,27961.7,3,2571,1,0
846,847,Atkore,2928.0,65.9,587.9,286.0,2210.1,4415.6,-,3700,1,1
848,849,First Solar,2923.4,7.8,468.7,17.7,7413.7,8904.4,-51,4800,1,1
849,850,Bio-Rad Laboratories,2922.5,14.8,4245.9,11.6,17775.8,16982.2,-21,7900,1,1
850,851,Cooper Cos.,2922.5,20.2,2944.7,1135.2,9606.2,20587.8,2,12000,1,0
851,852,Envista Holdings,2922.4,28.1,340.5,922.5,6574.2,7882.5,48,11200,1,0
853,854,Newmark Group,2906.4,52.6,750.7,837.7,5216.2,3009.9,129,6169,1,0
854,855,PC Connection,2892.6,11.7,69.9,25.4,1083.4,1375.8,-38,2542,1,1
856,857,Boston Properties,2888.6,4.4,505.2,-42.1,22365.3,20179.9,-67,743,1,1
857,858,Western Midstream Partners,2877.2,3.8,916.3,73.9,11273.1,10177.4,-69,1127,1,1
858,859,Magellan Midstream Partners,2870.1,18.2,982.0,20.2,8030.0,10422.1,-4,1715,1,1
860,861,Donaldson,2853.9,10.5,286.9,11.6,2400.2,6416.4,-40,13100,1,1
861,862,Moog,2852.0,-1.1,157.2,1608.0,3433.2,2814.6,-91,14000,1,1
862,863,Hawaiian Electric Industries,2850.4,10.5,246.2,24.4,15822.6,4630.0,-41,3623,1,1
863,864,Five Below,2848.4,45.2,278.8,126.0,2880.5,8825.0,105,13150,1,0
867,868,Fleetcor Technologies,2833.7,18.6,839.5,19.2,13404.7,19398.4,-3,9700,1,1
868,869,West Pharmaceutical Services,2831.6,31.9,661.8,91.2,3313.8,30508.2,56,10065,1,0
871,872,Virtu Financial,2811.5,-13.2,476.9,-26.5,10320.0,6622.1,-168,973,1,1
872,873,Teleflex,2809.6,10.7,485.4,44.7,6871.7,16642.1,-41,14000,1,1
876,877,Waters,2785.9,17.8,692.8,32.8,3094.9,18783.4,-3,7800,1,1
878,879,Hovnanian Enterprises,2782.9,18.7,607.8,1093.5,2320.5,371.9,6,1784,1,0
881,882,FTI Consulting,2776.2,12.8,235.0,11.5,3100.9,5400.1,-30,6780,1,1
882,883,Overstock.com,2773.8,8.8,389.4,595.3,1066.0,1897.8,-56,1350,1,1
